TransactionID,Amount,MerchantID,TransactionType,Location,IsFraud
95,1923.78,708,refund,New York,0
96,1209.88,336,purchase,Philadelphia,0
97,3558.24,188,refund,San Jose,0
98,923.88,407,purchase,San Jose,0
99,4836.36,656,purchase,Chicago,0
100,3396.1,818,purchase,Philadelphia,0
101,2522.38,68,refund,Chicago,0
102,433.94,837,purchase,Chicago,0
103,4975.64,37,refund,Houston,0
104,772.43,78,refund,Dallas,0
105,814.27,348,refund,New York,0
106,3016.19,574,purchase,Los Angeles,0
107,639.68,725,refund,New York,0
108,3593.48,376,purchase,San Diego,0
109,3593.2,934,refund,Los Angeles,0
110,785.79,78,refund,Phoenix,0
111,1404.77,727,refund,San Jose,0
112,388.09,258,purchase,San Diego,0
113,4469.05,441,purchase,Chicago,0
114,3084.23,305,refund,Phoenix,0
115,3268.77,364,refund,San Diego,0
116,4443.7,339,purchase,New York,0
117,3773.79,382,purchase,San Jose,0
118,2525.84,464,purchase,San Diego,0
119,2827.55,714,purchase,San Diego,0
120,1019.46,244,refund,San Diego,0
121,1476.27,231,refund,Los Angeles,0
122,1871.58,443,purchase,Phoenix,0
123,1290.73,455,refund,New York,0
124,3904.09,608,purchase,Philadelphia,0
125,303.11,232,refund,Chicago,0
126,1445.21,955,refund,San Jose,0
127,2797.59,897,purchase,Los Angeles,0
128,4820.74,663,refund,San Jose,0
129,4676.86,983,purchase,Chicago,0
130,2131.67,349,purchase,Dallas,0
131,4593.26,366,refund,San Jose,0
132,2964.31,486,purchase,San Antonio,0
133,4452.56,587,refund,Chicago,0
134,1064.75,816,purchase,New York,0
135,1950.97,648,purchase,San Antonio,0
136,3033.38,207,refund,San Diego,0
137,4579.91,806,purchase,Chicago,0
138,4463.06,616,purchase,New York,0
139,4824.21,163,refund,Phoenix,0
140,1606.55,728,refund,Phoenix,0
141,3050.67,814,purchase,Philadelphia,0
142,3465.81,688,purchase,Dallas,0
143,1629.28,621,refund,Houston,0
144,3806.2,141,refund,Houston,0
145,3506.76,282,refund,Phoenix,0
146,1893.07,818,purchase,Houston,0
147,3022.31,294,refund,San Antonio,0
148,1649.57,675,purchase,San Antonio,0
149,2735.8,574,purchase,San Diego,0
150,602.35,381,purchase,San Antonio,0
151,3214.15,565,purchase,Los Angeles,0
152,3732.15,794,refund,Phoenix,0
153,1705.68,174,purchase,Chicago,0
154,3354.2,207,purchase,Phoenix,0
155,1155.19,187,refund,Houston,0
156,22.08,964,purchase,Philadelphia,0
157,2545.43,118,refund,Houston,0
158,3173.84,279,purchase,Philadelphia,0
159,2458.68,681,refund,San Antonio,0
160,331.2,796,refund,San Jose,0
161,3947.38,434,refund,San Jose,0
162,768.44,1,purchase,Phoenix,0
163,3277.91,824,purchase,Philadelphia,0
164,4385.78,560,refund,San Jose,0
165,4195.53,789,refund,San Jose,0
166,2596.94,471,refund,San Diego,0
167,4411.72,666,refund,San Diego,0
168,1796.39,584,refund,New York,0
169,1282.88,255,purchase,San Diego,0
170,1812.72,28,purchase,San Antonio,0
171,2105.09,551,refund,San Jose,0
172,180.77,826,refund,Phoenix,0
173,68.85,737,purchase,Phoenix,0
174,194.61,303,refund,San Diego,0
175,4100.37,3,purchase,Los Angeles,0
176,3246.92,505,refund,San Jose,0
177,3411.73,502,refund,Houston,0
178,3342.67,484,purchase,San Diego,0
179,620.53,582,purchase,Phoenix,0
180,1986.08,714,refund,Phoenix,0
181,3427.7,232,purchase,Los Angeles,0
182,4954.15,210,refund,Houston,0
183,2282.14,27,purchase,Los Angeles,0
184,1489.88,706,purchase,San Diego,0
185,65.35,429,purchase,Dallas,0
186,1919.7,828,refund,Dallas,0
187,2189.78,174,refund,Chicago,0
188,3666.78,361,purchase,New York,0
189,4315.43,627,purchase,Philadelphia,0
190,3651.59,75,refund,San Diego,0
191,1703.8,916,purchase,San Jose,1
192,4248.1,862,purchase,San Jose,1
193,1706.64,417,refund,San Antonio,0
194,2444.96,615,purchase,New York,0
195,2945.76,37,purchase,Philadelphia,0
196,4971.31,786,purchase,Los Angeles,0
197,2805.81,345,refund,Phoenix,0
198,4271.92,367,purchase,Houston,0
199,3715.22,722,purchase,New York,0
200,4240.22,883,purchase,Dallas,0
201,582.83,409,refund,Los Angeles,0
202,38.88,109,purchase,Chicago,0
203,4906.35,167,refund,San Antonio,0
204,372.55,743,purchase,New York,0
205,1650.68,631,refund,Los Angeles,0
206,300.25,201,refund,Dallas,0
207,967.46,240,purchase,Dallas,0
208,2051.75,921,purchase,Chicago,0
209,1641.32,826,purchase,San Jose,1
210,407.51,116,refund,Chicago,0
211,2960.27,965,purchase,San Jose,0
212,3128.51,719,refund,Dallas,0
213,1463.83,627,refund,Los Angeles,0
214,2587.29,43,refund,Houston,0
215,165.69,573,refund,Chicago,0
216,1408.59,151,refund,San Jose,0
217,4398.94,919,refund,Chicago,0
218,3365.82,452,purchase,San Diego,0
219,547.72,411,purchase,Philadelphia,0
220,3403.92,205,purchase,San Diego,0
221,4160.09,990,purchase,Houston,0
222,3146.9,303,purchase,Los Angeles,0
223,4778.31,780,refund,Chicago,0
224,2890.29,256,refund,Chicago,0
225,4230.17,797,purchase,San Antonio,0
226,3387.78,220,refund,San Jose,0
227,2837.46,289,refund,San Antonio,0
228,1956.96,443,purchase,Phoenix,0
229,2798.04,388,refund,San Jose,0
230,1774.01,576,purchase,Phoenix,0
231,1232.42,279,refund,New York,0
232,473.7,445,refund,San Jose,0
233,1265.07,148,purchase,Dallas,0
234,3726.83,169,refund,Houston,0
235,1650.29,515,refund,San Diego,0
236,4125.33,4,refund,San Antonio,0
237,3506.49,488,purchase,New York,0
238,604.3,233,refund,Philadelphia,0
239,984.71,496,purchase,Dallas,0
240,4541.36,744,purchase,Phoenix,0
241,4127.8,298,refund,San Jose,0
242,1074.36,53,purchase,Phoenix,0
243,3305.73,59,purchase,Philadelphia,0
244,2790.95,193,purchase,San Diego,0
245,3145.56,947,purchase,New York,0
246,4116.82,337,refund,Philadelphia,0
247,670.64,248,purchase,Los Angeles,0
248,1417.05,966,purchase,Houston,0
249,3699.99,827,refund,New York,0
250,1805.95,980,refund,Los Angeles,0
251,2003.64,949,refund,San Diego,0
252,338.18,973,purchase,San Jose,0
253,3069.16,919,refund,New York,0
254,1809.94,101,refund,San Jose,0
255,3660.29,623,purchase,Philadelphia,0
256,4228.23,590,purchase,San Jose,0
257,996.58,113,purchase,Los Angeles,0
258,979.4,598,purchase,Chicago,0
259,4310.64,106,refund,Chicago,0
260,1841.08,933,refund,Houston,0
261,965.29,67,refund,San Jose,0
262,2347.86,691,purchase,Chicago,0
263,1289.36,1,refund,New York,0
264,1176.73,662,refund,Chicago,0
265,3503.11,855,refund,Chicago,0
266,1730.85,750,refund,San Jose,0
267,4429.98,47,refund,Phoenix,0
268,565.41,618,refund,Dallas,0
269,704.9,371,refund,Dallas,0
270,1544.68,695,purchase,Los Angeles,0
271,732.16,207,refund,San Diego,0
272,3015.08,280,purchase,Chicago,0
273,1307.15,136,refund,San Antonio,0
274,1834.32,63,purchase,Dallas,0
275,2454.34,197,refund,San Jose,0
276,1392.09,780,purchase,New York,0
277,4815.35,848,purchase,Houston,0
278,3513.45,519,purchase,New York,0
279,724.56,736,refund,New York,0
280,1820.34,864,refund,San Jose,0
281,964.78,76,purchase,San Diego,0
282,4186.42,731,refund,New York,0
283,4305.23,645,refund,Houston,0
284,3397.65,972,refund,San Jose,0
285,4603.97,843,purchase,Chicago,0
286,2125.83,785,purchase,San Jose,0
287,1741.04,914,refund,San Antonio,0
288,2902.39,870,purchase,Dallas,0
289,4259.96,874,refund,Dallas,0
290,2887.65,67,refund,Chicago,0
291,740.58,671,purchase,Los Angeles,0
292,2121.28,480,refund,San Antonio,0
293,3524.33,302,refund,San Antonio,0
294,3857.24,529,purchase,Los Angeles,0
295,716.93,849,purchase,Phoenix,0
296,1693.43,804,purchase,San Jose,0
297,4862.44,466,purchase,Chicago,0
298,2783.65,497,purchase,San Diego,0
299,2785.32,882,refund,Los Angeles,0
300,4678.38,98,purchase,San Diego,0
301,3879.7,887,purchase,San Diego,0
302,746.71,332,refund,Chicago,0
303,520.72,156,refund,Dallas,0
304,3513.39,542,purchase,San Antonio,0
305,4734.11,57,purchase,Phoenix,0
306,3303.14,925,purchase,Los Angeles,0
307,4979.6,540,purchase,New York,0
308,2505.91,115,purchase,Los Angeles,0
309,4930.26,8,refund,San Antonio,0
310,2793.96,768,purchase,Houston,0
311,4912.62,886,purchase,San Jose,0
312,729.64,278,refund,Dallas,0
313,2130.43,213,refund,Los Angeles,0
314,2094.02,704,refund,San Diego,0
315,928.58,338,purchase,Chicago,0
316,1594.15,756,purchase,New York,0
317,3002.5,108,purchase,Philadelphia,0
318,3744.54,130,refund,San Diego,0
319,1491.33,45,refund,San Diego,0
320,281.18,237,purchase,Philadelphia,1
321,2955.28,340,refund,Dallas,0
322,82.0,527,purchase,Houston,0
323,3886.43,870,purchase,Chicago,0
324,2513.33,693,purchase,Houston,0
325,4517.78,744,purchase,Los Angeles,0
326,3621.27,449,refund,San Diego,0
327,4422.71,574,purchase,San Antonio,0
328,581.79,985,purchase,Chicago,0
329,899.87,201,refund,Los Angeles,0
330,3237.7,277,refund,Houston,0
331,1569.25,73,purchase,San Jose,0
332,282.62,850,purchase,Dallas,0
333,1487.26,671,refund,San Antonio,0
334,2537.67,347,purchase,Los Angeles,0
335,3890.85,799,refund,Houston,0
336,2932.28,443,purchase,Chicago,0
337,1243.23,288,purchase,San Diego,0
338,117.1,597,purchase,New York,0
339,3957.22,439,refund,Phoenix,0
340,1511.63,636,refund,New York,0
341,574.35,75,purchase,Chicago,0
342,2269.92,347,purchase,Philadelphia,0
343,1751.23,243,purchase,Dallas,0
344,770.07,791,purchase,New York,0
345,3986.28,64,purchase,New York,0
346,126.1,487,refund,Philadelphia,0
347,1688.19,755,refund,Dallas,0
348,2775.13,904,purchase,Philadelphia,0
349,4610.03,353,purchase,San Jose,0
350,4277.16,789,purchase,San Diego,0
351,3584.64,96,refund,New York,0
352,3588.5,282,refund,San Jose,0
353,2370.24,527,refund,New York,0
354,2740.4,107,refund,Los Angeles,0
355,2107.38,398,refund,San Jose,0
356,4655.62,598,refund,Philadelphia,0
357,1409.44,881,purchase,San Jose,0
358,2195.59,413,purchase,Chicago,0
359,3103.56,294,refund,Chicago,0
360,2755.44,230,refund,Houston,0
361,1194.12,601,refund,San Diego,0
362,824.41,590,purchase,Philadelphia,0
363,2287.14,734,purchase,Dallas,0
364,774.53,989,purchase,Los Angeles,0
365,2330.25,247,refund,Dallas,0
366,3747.26,767,purchase,San Diego,0
367,4233.04,686,refund,Phoenix,0
368,3457.83,899,purchase,San Diego,0
369,1726.8,118,refund,New York,0
370,3126.8,906,refund,Philadelphia,0
371,3047.66,789,purchase,New York,1
372,3449.36,405,purchase,Chicago,0
373,833.04,488,purchase,Philadelphia,0
374,248.65,973,refund,Chicago,0
375,1638.6,713,refund,San Jose,0
376,327.46,924,purchase,San Diego,0
377,97.25,842,refund,Dallas,0
378,1443.1,241,purchase,Philadelphia,0
379,4640.59,854,purchase,Houston,0
380,2469.63,787,refund,Los Angeles,0
381,572.08,80,purchase,San Jose,0
382,1845.36,584,purchase,Houston,0
383,1509.3,130,purchase,Phoenix,0
384,1650.3,446,refund,Los Angeles,0
385,999.14,436,refund,Los Angeles,0
386,4157.23,236,refund,Phoenix,0
387,2352.91,93,refund,Los Angeles,0
388,3568.87,311,refund,Dallas,0
389,3390.19,921,refund,Los Angeles,0
390,4729.42,655,refund,Chicago,0
391,2152.93,648,refund,New York,0
392,3596.87,838,purchase,Los Angeles,0
393,3289.01,14,purchase,Chicago,0
394,2016.55,964,purchase,Chicago,0
395,4063.63,963,purchase,Dallas,0
396,2055.05,726,purchase,New York,0
397,694.88,575,refund,New York,0
398,1585.62,799,purchase,New York,0
399,4561.25,271,refund,San Antonio,0
400,4224.27,104,refund,Phoenix,0
401,2988.96,239,refund,San Diego,0
402,814.35,312,refund,Philadelphia,0
403,3129.08,489,purchase,San Diego,0
404,1267.8,8,refund,Houston,0
405,3799.67,41,purchase,San Diego,0
406,3433.05,848,purchase,Philadelphia,0
407,2729.2,803,purchase,San Diego,0
408,4686.29,681,purchase,New York,0
409,1901.04,431,purchase,Phoenix,0
410,164.15,740,purchase,San Antonio,0
411,1707.0,985,refund,Phoenix,0
412,558.72,460,purchase,Houston,0
413,3415.01,572,purchase,New York,0
414,3267.07,275,refund,New York,0
415,4056.75,45,purchase,San Jose,0
416,4707.69,595,purchase,Phoenix,0
417,2092.28,769,refund,Houston,0
418,205.48,983,purchase,Chicago,0
419,1586.16,29,purchase,San Jose,0
420,2168.32,136,purchase,Dallas,0
421,1717.95,889,refund,Los Angeles,0
422,4709.06,675,purchase,Philadelphia,0
423,1458.12,106,refund,Houston,0
424,4707.74,115,purchase,Chicago,0
425,4151.98,381,refund,Houston,0
426,1845.18,414,refund,San Antonio,0
427,2121.47,964,purchase,Dallas,0
428,1561.2,654,purchase,New York,0
429,1343.61,765,refund,New York,0
430,1235.24,275,refund,San Diego,0
431,3435.02,724,refund,Philadelphia,0
432,3769.64,639,purchase,Philadelphia,0
433,2038.53,399,refund,San Diego,0
434,3046.83,433,refund,San Jose,0
435,1148.82,761,purchase,San Jose,0
436,1414.07,435,refund,Dallas,0
437,2122.77,224,purchase,Los Angeles,0
438,413.62,550,purchase,Houston,0
439,4559.95,402,purchase,New York,0
440,184.8,948,purchase,Phoenix,0
441,533.65,821,refund,San Diego,0
442,1953.36,83,purchase,San Diego,0
443,4399.45,275,purchase,San Antonio,0
444,3466.73,494,refund,Philadelphia,0
445,1564.1,120,refund,Los Angeles,0
446,4072.13,146,purchase,Chicago,0
447,1307.87,928,refund,Los Angeles,0
448,1154.79,894,refund,Phoenix,0
449,243.7,974,purchase,San Diego,0
450,4522.96,730,purchase,Los Angeles,0
451,2072.97,103,purchase,San Jose,0
452,199.97,798,refund,Phoenix,0
453,4231.9,204,purchase,Dallas,0
454,1278.76,788,purchase,Chicago,0
455,3267.74,286,refund,Dallas,0
456,353.12,818,refund,Houston,0
457,1008.91,13,purchase,San Antonio,0
458,815.82,198,purchase,San Antonio,0
459,3574.71,64,purchase,New York,0
460,4448.41,884,purchase,Los Angeles,0
461,3405.11,273,refund,Phoenix,0
462,2051.67,694,refund,Philadelphia,0
463,2333.98,46,refund,Phoenix,0
464,3776.8,82,purchase,San Jose,0
465,2824.48,269,purchase,San Antonio,0
466,690.02,71,purchase,Phoenix,0
467,1200.66,431,refund,San Diego,0
468,4593.29,901,purchase,San Diego,0
469,3349.47,122,refund,Houston,0
470,3409.05,102,purchase,Houston,0
471,146.4,967,purchase,Los Angeles,0
472,1047.11,535,purchase,Phoenix,0
473,1301.75,558,purchase,Philadelphia,0
474,372.78,712,purchase,New York,0
475,2906.03,84,refund,Dallas,0
476,2679.58,361,purchase,Philadelphia,0
477,671.69,605,refund,Philadelphia,0
478,1117.05,327,refund,New York,0
479,1348.04,686,purchase,Houston,0
480,4210.14,786,purchase,Philadelphia,0
481,4509.1,212,refund,San Diego,0
482,1788.41,896,purchase,Houston,0
483,3021.35,195,purchase,San Diego,0
484,4874.36,303,refund,Chicago,0
485,1062.55,489,refund,Los Angeles,0
486,2229.09,368,refund,Phoenix,0
487,4735.69,941,refund,Houston,0
488,3635.9,912,refund,Philadelphia,0
489,3957.34,154,purchase,New York,0
490,1252.36,544,purchase,Houston,0
491,2793.05,539,refund,Chicago,0
492,566.44,504,refund,San Jose,0
493,1742.14,395,refund,Dallas,0
494,1904.81,693,purchase,San Antonio,0
495,3357.13,511,purchase,New York,0
496,2193.2,602,refund,Los Angeles,0
497,214.46,229,purchase,Philadelphia,0
498,2454.2,22,purchase,Chicago,0
499,2926.09,713,refund,Phoenix,0
500,4413.47,522,purchase,Phoenix,0
501,2422.03,703,purchase,Philadelphia,0
502,2475.66,829,refund,San Diego,0
503,4362.22,245,purchase,San Diego,0
504,2679.7,926,purchase,Dallas,0
505,238.04,568,refund,Philadelphia,0
506,4526.06,201,purchase,Los Angeles,0
507,1407.65,358,purchase,Philadelphia,1
508,1387.25,935,refund,New York,0
509,4254.39,654,refund,Dallas,0
510,327.65,848,refund,San Jose,0
511,3755.69,532,purchase,New York,0
512,2521.76,805,purchase,Philadelphia,0
513,1316.72,947,purchase,Dallas,0
514,2296.64,613,purchase,New York,0
515,1505.15,894,refund,Dallas,0
516,1297.03,273,refund,Chicago,0
517,1588.73,161,purchase,San Diego,0
518,1279.92,888,refund,San Antonio,0
519,4527.2,361,purchase,Phoenix,0
520,4564.53,13,refund,San Antonio,0
521,4366.27,178,refund,New York,0
522,2274.58,914,refund,San Diego,0
523,2981.95,522,refund,Dallas,0
524,3341.42,58,purchase,Dallas,0
525,911.31,585,purchase,Philadelphia,0
526,4591.05,213,refund,New York,0
527,992.85,554,purchase,Chicago,0
528,2929.29,802,purchase,Chicago,0
529,2254.13,284,refund,San Diego,0
530,750.6,100,purchase,Los Angeles,0
531,3323.96,1000,refund,Los Angeles,0
532,3374.49,668,purchase,Philadelphia,0
533,3992.4,359,purchase,New York,0
534,183.54,705,purchase,New York,0
535,852.53,694,purchase,San Antonio,0
536,2934.86,101,refund,Houston,0
537,2072.84,183,refund,New York,0
538,2923.25,962,refund,San Jose,0
539,4258.71,282,purchase,San Jose,0
540,4136.06,65,refund,San Antonio,0
541,1849.94,220,purchase,Houston,0
542,4247.25,926,refund,Los Angeles,0
543,2463.35,18,refund,San Jose,0
544,4429.38,592,purchase,New York,0
545,2616.94,843,refund,San Antonio,0
546,522.73,92,purchase,New York,0
547,1745.1,68,purchase,New York,0
548,1837.08,684,refund,Chicago,0
549,619.48,427,purchase,Dallas,0
550,616.34,869,refund,San Diego,0
551,1057.76,399,refund,Dallas,0
552,4760.02,247,refund,San Antonio,0
553,4256.7,897,refund,Dallas,0
554,2101.04,378,purchase,San Antonio,0
555,2943.87,657,refund,Phoenix,0
556,1835.1,85,refund,Dallas,0
557,1354.66,845,refund,San Diego,0
558,1442.19,655,refund,Philadelphia,0
559,3005.9,658,refund,Houston,0
560,636.86,299,refund,Phoenix,0
561,1344.99,141,refund,Phoenix,0
562,259.78,514,refund,Houston,0
563,3675.5,956,refund,San Jose,0
564,4833.55,818,refund,San Antonio,0
565,4601.81,629,purchase,San Jose,0
566,4539.76,811,refund,Chicago,0
567,4159.75,550,purchase,Dallas,0
568,1131.85,132,refund,Philadelphia,0
569,3513.48,573,refund,San Jose,0
570,2601.72,343,purchase,Dallas,0
571,1312.16,820,purchase,Phoenix,0
572,4152.83,400,refund,New York,0
573,500.64,673,purchase,Houston,0
574,4500.43,715,purchase,San Diego,0
575,2503.45,581,refund,Houston,0
576,4688.8,147,purchase,Chicago,0
577,3253.16,278,purchase,San Diego,0
578,353.96,595,purchase,Houston,0
579,4545.76,2,refund,Philadelphia,0
580,4114.41,415,refund,Los Angeles,0
581,4748.66,554,purchase,San Antonio,0
582,755.24,733,refund,Philadelphia,0
583,3252.16,84,purchase,Dallas,0
584,199.62,403,purchase,San Jose,0
585,3653.41,125,refund,Dallas,0
586,4669.19,401,refund,Dallas,0
587,1932.43,342,refund,San Jose,0
588,4038.95,525,purchase,San Antonio,0
589,1883.35,73,refund,Philadelphia,0
590,2852.28,789,refund,San Jose,0
591,85.77,876,refund,Los Angeles,0
592,3904.28,414,purchase,San Antonio,0
593,2660.39,204,refund,New York,0
594,4948.06,790,refund,New York,0
595,1928.22,848,refund,Los Angeles,0
596,918.48,491,refund,New York,0
597,4628.41,25,refund,Dallas,0
598,2417.78,448,purchase,Los Angeles,0
599,188.48,764,refund,San Jose,0
600,1733.24,805,purchase,Philadelphia,0
601,2618.27,534,purchase,Phoenix,0
602,656.66,885,purchase,San Antonio,0
603,2003.48,409,purchase,Chicago,0
604,1310.28,178,refund,New York,0
605,4205.74,5,purchase,New York,0
606,109.46,405,purchase,San Jose,0
607,1072.5,331,purchase,San Antonio,0
608,341.79,284,purchase,New York,0
609,4831.66,525,refund,San Jose,0
610,294.63,999,purchase,Houston,0
611,1015.33,588,refund,San Antonio,1
612,19.48,414,refund,San Antonio,0
613,4980.16,178,purchase,Dallas,0
614,2712.54,480,refund,San Antonio,0
615,4504.58,565,refund,Philadelphia,0
616,3497.95,851,purchase,Dallas,1
617,134.85,427,refund,New York,0
618,3623.57,829,refund,New York,0
619,3970.7,532,purchase,Chicago,0
620,812.78,559,refund,San Diego,0
621,4698.55,633,purchase,Philadelphia,0
622,4720.52,99,refund,Philadelphia,0
623,3721.35,4,purchase,San Jose,0
624,4535.66,3,refund,Chicago,0
625,3109.69,81,refund,Houston,0
626,2296.54,549,refund,Dallas,0
627,1715.38,113,refund,Houston,0
628,3071.9,350,purchase,Phoenix,0
629,243.71,324,purchase,Dallas,0
630,3912.16,586,refund,San Jose,0
631,937.89,178,purchase,San Jose,0
632,1354.41,382,refund,Dallas,0
633,2867.01,582,purchase,Philadelphia,0
634,2497.95,642,refund,Los Angeles,0
635,1582.85,768,purchase,Los Angeles,0
636,3516.64,434,purchase,Houston,0
637,3835.91,667,purchase,Dallas,0
638,930.86,396,refund,San Jose,0
639,3621.1,643,refund,San Antonio,0
640,1110.79,525,purchase,New York,0
641,2281.9,461,refund,Houston,0
642,3080.22,949,purchase,Philadelphia,0
643,2965.37,116,purchase,Philadelphia,0
644,1961.91,206,purchase,San Diego,0
645,4395.05,839,purchase,Phoenix,0
646,3640.13,352,refund,San Jose,0
647,950.45,356,refund,Chicago,0
648,2577.96,438,refund,Los Angeles,0
649,4548.21,313,refund,Phoenix,0
650,1258.4,913,purchase,Houston,0
651,1791.46,689,purchase,Chicago,0
652,1735.05,453,purchase,Chicago,0
653,4671.26,773,refund,San Antonio,0
654,3527.46,253,purchase,Philadelphia,0
655,4501.05,940,purchase,San Jose,0
656,907.27,79,refund,San Jose,0
657,3533.34,532,purchase,Phoenix,0
658,4172.96,333,purchase,San Antonio,0
659,2690.45,813,purchase,Houston,0
660,531.78,503,purchase,New York,0
661,4532.19,37,purchase,New York,0
662,1205.66,626,refund,San Jose,0
663,1467.74,387,purchase,Los Angeles,0
664,4697.68,692,purchase,San Diego,0
665,4313.44,884,refund,Houston,0
666,4750.06,939,refund,San Diego,0
667,3749.38,943,purchase,New York,0
668,2587.77,878,refund,Los Angeles,0
669,665.42,191,refund,Philadelphia,0
670,297.76,237,purchase,San Diego,0
671,1078.2,149,purchase,Phoenix,0
672,4651.2,164,purchase,Los Angeles,0
673,3097.06,613,purchase,Philadelphia,0
674,3519.32,864,purchase,Houston,0
675,1035.23,903,refund,Houston,0
676,1633.24,73,refund,San Diego,0
677,142.82,505,purchase,San Jose,0
678,1476.71,139,purchase,Los Angeles,0
679,776.95,178,purchase,Phoenix,0
680,644.37,515,purchase,New York,0
681,2882.66,627,purchase,Phoenix,0
682,2972.91,548,refund,Houston,0
683,2950.12,206,purchase,Houston,0
684,4620.73,990,purchase,Chicago,0
685,4863.6,889,purchase,Dallas,0
686,1685.14,408,purchase,Phoenix,0
687,808.42,159,refund,New York,0
688,2708.02,750,refund,San Diego,0
689,4834.16,879,purchase,San Jose,0
690,1424.08,609,purchase,Los Angeles,0
691,2807.97,983,refund,Los Angeles,0
692,4473.68,927,refund,Chicago,0
693,3068.73,872,refund,Los Angeles,0
694,4034.21,492,refund,Houston,1
695,3089.26,974,purchase,New York,0
696,1149.74,67,refund,Houston,0
697,3577.89,665,purchase,Philadelphia,0
698,3954.96,1000,purchase,Phoenix,0
699,2371.8,650,purchase,Dallas,0
700,2399.7,209,refund,Chicago,0
701,4645.26,509,purchase,New York,0
702,2781.96,524,purchase,Houston,0
703,2122.95,809,refund,Los Angeles,0
704,4789.39,317,purchase,Chicago,0
705,2985.2,786,refund,Philadelphia,0
706,4751.28,758,refund,San Diego,0
707,1796.83,526,refund,San Diego,0
708,816.09,166,refund,New York,0
709,2389.59,702,refund,Philadelphia,0
710,1856.06,973,purchase,San Jose,0
711,2293.06,651,purchase,Los Angeles,0
712,19.71,722,refund,San Jose,0
713,2585.86,730,refund,New York,0
714,586.36,318,refund,New York,0
